slug,name,status,detail
tmnt-shredders-revenge,Teenage Mutant Ninja Turtles: Shredder's Revenge,no_igdb_match,
capcom-beat-em-up-bundle,Capcom Beat 'Em Up Bundle,no_igdb_match,
double-dragon-gaiden-rise-of-the-dragons,Double Dragon Gaiden: Rise of the Dragons,no_igdb_match,
fightn-rage,Fight'N Rage,no_igdb_match,
river-city-ransom-underground,River City Ransom: Underground,no_igdb_match,
scott-pilgrim-vs-the-world-the-game-complete-edition,Scott Pilgrim vs. The World: The Game - Complete Edition,no_igdb_match,
anno-1404-dawn-of-discovery,Anno 1404 (Dawn of Discovery),ok,"igdb_id=662 (Dawn of Discovery), src_res=1728x1080"
banished,Banished,ok,"igdb_id=2002 (Banished), src_res=1280x1024"
caesar-online,Caesar Online,no_igdb_match,
caesars-iii,Caesars III,ok,"igdb_id=6332 (Caesar III), src_res=1024x768"
city-builder-2,City Builder 2,no_igdb_match,
citylife-2008,Citylife 2008,no_igdb_match,
imagine-city-builder,Imagine City Builder,no_igdb_match,
simcity-4,SimCity 4,ok,"igdb_id=1275 (SimCity 4), src_res=1920x1080"
timberborn,Timberborn,ok,"igdb_id=126381 (Timberborn), src_res=1920x1080"
tropico-paradise-island,Tropico: Paradise Island,ok,"igdb_id=11029 (Tropico: Paradise Island), src_res=780x624"
tycoon-city-london,Tycoon City: London,no_igdb_match,
virtual-city-empire,Virtual City Empire,no_igdb_match,
zeus-master-of-olympus,Zeus: Master of Olympus,ok,"igdb_id=958 (Zeus: Master of Olympus), src_res=1024x768"
tropico,Tropico,no_screenshots,matched_igdb_id=293374 (Tropico)
against-the-storm,Against the Storm,no_screenshots,matched_igdb_id=115538 (The Demon Crystal 3: Dark Storm)
cities-skylines,Cities: Skylines,ok,"igdb_id=9066 (Cities: Skylines), src_res=1920x1080"
civilization-vi,Civilization VI,no_screenshots,matched_igdb_id=341802 (Sid Meier's Civilization VI: Aztec Civilization Pack)
islanders,Islanders,ok,"igdb_id=62 (The Curse of Monkey Island), src_res=640x480"
northgard,Northgard,ok,"igdb_id=18918 (Northgard), src_res=1920x1080"
half-life,Half-Life,no_screenshots,matched_igdb_id=320851 (Half-Life 2: Survivor)
call-of-duty-4-modern-warfare,Call of Duty 4: Modern Warfare,ok,"igdb_id=134651 (Call of Duty 4: Modern Warfare), src_res=500x376"
call-of-duty-modern-warfare-2,Call of Duty: Modern Warfare 2,ok,"igdb_id=559 (Call of Duty: Modern Warfare 2), src_res=1919x1080"
daikatana,Daikatana,ok,"igdb_id=361416 (Daikatana), src_res=1440x1080"
et-the-extra-terrestrial,E.T. the Extra-Terrestrial,no_screenshots,matched_igdb_id=6706 (E.T. the Extra-Terrestrial)
half-life-2,Half-Life 2,ok,"igdb_id=233 (Half-Life 2), src_res=1024x640"
half-life-2-episode-1,Half-Life 2: Episode 1,ok,"igdb_id=338 (Half-Life 2: Episode One), src_res=1024x576"
quake-iii-arena,Quake III Arena,ok,"igdb_id=355 (Quake III Arena), src_res=1280x1024"
shadowrun-2007,Shadowrun 2007,ok,"igdb_id=7643 (Shadowrun), src_res=800x535"
superman-64,Superman 64,ok,"igdb_id=3005 (Superman: The New Superman Adventures), src_res=1024x768"
unreal-tournament-2004,Unreal Tournament 2004,ok,"igdb_id=927 (Unreal Tournament 2004), src_res=800x600"
aliens-colonial-marines,Aliens: Colonial Marines,ok,"igdb_id=1021 (Aliens: Colonial Marines), src_res=1868x1052"
bioshock-infinite,BioShock Infinite,ok,"igdb_id=538 (BioShock Infinite), src_res=1280x1024"
blacklight-retribution,Blacklight: Retribution,ok,"igdb_id=2118 (Blacklight: Retribution), src_res=1920x1080"
brink,Brink,ok,"igdb_id=502 (Brink), src_res=1920x1080"
anthem,Anthem,ok,"igdb_id=36950 (Anthem), src_res=1920x1080"
concord,Concord,ok,"igdb_id=250632 (Concord), src_res=1920x1080"
half-life-alyx,Half-Life: Alyx,ok,"igdb_id=126098 (Half-Life: Alyx), src_res=1920x1080"
star-wars-battlefront-2015,Star Wars Battlefront 2015,no_igdb_match,
city-life-2006-version,City Life (2006 Version),no_igdb_match,
dwarf-fortress,Dwarf Fortress,ok,"igdb_id=6341 (Dwarf Fortress), src_res=901x675"
offworld-trading-company,Offworld Trading Company,ok,"igdb_id=10637 (Offworld Trading Company), src_res=1024x768"
rollercoaster-tycoon,Rollercoaster Tycoon,ok,"igdb_id=254 (RollerCoaster Tycoon), src_res=1024x768"
theme-hospital,Theme Hospital,ok,"igdb_id=216009 (Theme Hospital), src_res=640x480"
tycoon-city-new-york,Tycoon City: New York,ok,"igdb_id=9439 (Tycoon City: New York), src_res=640x480"
aven-colony,Aven Colony,ok,"igdb_id=23212 (Aven Colony), src_res=2560x1440"
farming-simulator-22,Farming Simulator 22,ok,"igdb_id=146112 (Farming Simulator 22), src_res=2560x1440"
planet-coaster,Planet Coaster,ok,"igdb_id=18829 (Planet Coaster), src_res=1920x1080"
tropico-6,Tropico 6,ok,"igdb_id=36649 (Tropico 6), src_res=3840x2160"
